Titulo,Conteúdo
Recorde Mundial Natação - 50m livre,"Na prova de 50m livre (piscina de 50m), o recorde mundial é do atleta Sarah Sjoestroem (Suécia). O tempo recorde é de 23.61, estabelecido em 29 de julho de 2023 na competição Campeonato Mundial (Fukuoka, Japão)."
Recorde Mundial Natação - 100m livre,"Na prova de 100m livre (piscina de 50m), o recorde mundial é do atleta Sarah Sjoestroem (Suécia). O tempo recorde é de 51.71, estabelecido em 23 de julho de 2017 na competição Campeonato Mundial (Budapeste, Hungria)."
Recorde Mundial Natação - 200m livre,"Na prova de 200m livre (piscina de 50m), o recorde mundial é do atleta Ariarne Titmus (Austrália). O tempo recorde é de 1:52.23, estabelecido em 12 de junho de 2024 na competição Seletiva Australiana (Brisbane, Austrália)."
Recorde Mundial Natação - 400m livre,"Na prova de 400m livre (piscina de 50m), o recorde mundial é do atleta Summer McIntosh (Canadá). O tempo recorde é de 3:54.18, estabelecido em 7 de junho de 2025 na competição Seletiva Canadense (Victoria, Canadá)."
Recorde Mundial Natação - 800m livre,"Na prova de 800m livre (piscina de 50m), o recorde mundial é do atleta Katie Ledecky (EUA). O tempo recorde é de 8:04.12, estabelecido em 3 de maio de 2025 na competição TYR Pro Swim Series (Fort Lauderdale, EUA)."
Recorde Mundial Natação - 1500m livre,"Na prova de 1500m livre (piscina de 50m), o recorde mundial é do atleta Katie Ledecky (EUA). O tempo recorde é de 15:20.48, estabelecido em 16 de maio de 2018 na competição TYR Pro Swim Series (Indianápolis, EUA)."
Recorde Mundial Natação - 50m costas,"Na prova de 50m costas (piscina de 50m), o recorde mundial é do atleta Kaylee McKeown (Austrália). O tempo recorde é de 26.86, estabelecido em 20 de outubro de 2023 na competição Copa do Mundo (Budapeste, Hungria)."
Recorde Mundial Natação - 100m costas,"Na prova de 100m costas (piscina de 50m), o recorde mundial é do atleta Regan Smith (EUA). O tempo recorde é de 57.13, estabelecido em 18 de junho de 2024 na competição Seletiva Olímpica Americana (Indianápolis, EUA)."
Recorde Mundial Natação - 200m costas,"Na prova de 200m costas (piscina de 50m), o recorde mundial é do atleta Kaylee McKeown (Austrália). O tempo recorde é de 2:03.14, estabelecido em 10 de março de 2023 na competição Campeonato Estadual NSW (Sydney, Austrália)."
Recorde Mundial Natação - 50m peito,"Na prova de 50m peito (piscina de 50m), o recorde mundial é do atleta Ruta Meilutyte (Lituânia). O tempo recorde é de 29.16, estabelecido em 30 de julho de 2023 na competição Campeonato Mundial (Fukuoka, Japão)."
Recorde Mundial Natação - 100m peito,"Na prova de 100m peito (piscina de 50m), o recorde mundial é do atleta Lilly King (EUA). O tempo recorde é de 1:04.13, estabelecido em 25 de julho de 2017 na competição Campeonato Mundial (Budapeste, Hungria)."
Recorde Mundial Natação - 200m peito,"Na prova de 200m peito (piscina de 50m), o recorde mundial é do atleta Evgeniia Chikunova (Rússia). O tempo recorde é de 2:17.55, estabelecido em 21 de abril de 2023 na competição Campeonato Russo (Kazan, Rússia)."
Recorde Mundial Natação - 50m borboleta,"Na prova de 50m borboleta (piscina de 50m), o recorde mundial é do atleta Sarah Sjoestroem (Suécia). O tempo recorde é de 24.43, estabelecido em 5 de julho de 2014 na competição Campeonato Sueco (Boras, Suécia)."
Recorde Mundial Natação - 100m borboleta,"Na prova de 100m borboleta (piscina de 50m), o recorde mundial é do atleta Gretchen Walsh (EUA). O tempo recorde é de 54.33, estabelecido em 2 de maio de 2026 na competição Fort Lauderdale, EUA."
Recorde Mundial Natação - 200m borboleta,"Na prova de 200m borboleta (piscina de 50m), o recorde mundial é do atleta Liu Zige (República Popular da China). O tempo recorde é de 2:01.81, estabelecido em 21 de outubro de 2009 na competição Jogos Nacionais Chineses (Jinan, República Popular da China)."
Recorde Mundial Natação - 200m medley individual,"Na prova de 200m medley individual (piscina de 50m), o recorde mundial é do atleta Summer McIntosh (Canadá). O tempo recorde é de 2:05.70, estabelecido em 9 de junho de 2025 na competição Seletiva Canadense (Victoria, Canadá)."
Recorde Mundial Natação - 400m medley individual,"Na prova de 400m medley individual (piscina de 50m), o recorde mundial é do atleta Summer McIntosh (Canadá). O tempo recorde é de 4:23.65, estabelecido em 11 de junho de 2025 na competição Seletiva Canadense (Victoria, Canadá)."
Recorde Mundial Natação - Revezamento 4x100m livre,"Na prova de Revezamento 4x100m livre (piscina de 50m), o recorde mundial é do atleta Mollie O'Callaghan, Shayna Jack, Meg Harris, Emma McKeon (Austrália). O tempo recorde é de 3:27.96, estabelecido em 23 de julho de 2023 na competição Campeonato Mundial (Fukuoka, Japão)."
Recorde Mundial Natação - Revezamento 4x200m livre,"Na prova de Revezamento 4x200m livre (piscina de 50m), o recorde mundial é do atleta Mollie O'Callaghan, Shayna Jack, Brianna Throssell, Ariarne Titmus (Austrália). O tempo recorde é de 7:37.50, estabelecido em 27 de julho de 2023 na competição Campeonato Mundial (Fukuoka, Japão)."
Recorde Mundial Natação - Revezamento 4x100m medley,"Na prova de Revezamento 4x100m medley (piscina de 50m), o recorde mundial é do atleta Regan Smith, Kate Douglass, Gretchen Walsh, Torri Huske (EUA). O tempo recorde é de 3:49.34, estabelecido em 3 de agosto de 2025 na competição Campeonato Mundial (Singapura)."
Recorde Mundial Natação - Revezamento 4x100m livre,"Na prova de Revezamento 4x100m livre (piscina de 50m), o recorde mundial é do atleta Jack Alexy, Patrick Sammon, Kate Douglass e Torri Huske (EUA). O tempo recorde é de 3:18.48, estabelecido em 2 de agosto de 2025 na competição Campeonato Mundial (Singapura)."
Recorde Mundial Natação - Revezamento 4x100m medley,"Na prova de Revezamento 4x100m medley (piscina de 50m), o recorde mundial é do atleta Ryan Murphy, Nic Fink, Gretchen Walsh, Torri Huske (EUA). O tempo recorde é de 3:37.43, estabelecido em 3 de agosto de 2024 na competição Jogos Olímpicos Paris 2024."
Recorde Mundial Natação - 50m Livre,"Na prova de 50m Livre (piscina de 25m), o recorde mundial é do atleta Jordan Crooks (Ilhas Cayman). O tempo recorde é de 19.9, estabelecido em 14/dez./2024 na competição Campeonato do Mundo."
Recorde Mundial Natação - 100m Livre,"Na prova de 100m Livre (piscina de 25m), o recorde mundial é do atleta Kyle Chalmers (Austrália). O tempo recorde é de 44.84, estabelecido em 29/out./2021 na competição Copa do Mundo."
Recorde Mundial Natação - 200m Livre,"Na prova de 200m Livre (piscina de 25m), o recorde mundial é do atleta Luke Hobson (Estados Unidos). O tempo recorde é de 1:38.61, estabelecido em 15/dez./2024 na competição Campeonato do Mundo."
Recorde Mundial Natação - 400m Livre,"Na prova de 400m Livre (piscina de 25m), o recorde mundial é do atleta Yannick Agnel (França). O tempo recorde é de 3:32.25, estabelecido em 15/nov./2012 na competição Campeonato Francês."
Recorde Mundial Natação - 800m Livre,"Na prova de 800m Livre (piscina de 25m), o recorde mundial é do atleta Daniel Wiffen (Irlanda). O tempo recorde é de 7:20.46, estabelecido em 10/dez./2023 na competição Campeonato Europeu."
Recorde Mundial Natação - 1500m Livre,"Na prova de 1500m Livre (piscina de 25m), o recorde mundial é do atleta Florian Wellbrock (Alemanha). O tempo recorde é de 14:06.88, estabelecido em 21/dez./2021 na competição Campeonato Mundial."
Recorde Mundial Natação - 50m Costas,"Na prova de 50m Costas (piscina de 25m), o recorde mundial é do atleta Kliment Kolesnikov (Rússia). O tempo recorde é de 22.11, estabelecido em 23/nov./2022 na competição Jogos Solidários."
Recorde Mundial Natação - 100m Costas,"Na prova de 100m Costas (piscina de 25m), o recorde mundial é do atleta Hubert Kós (Hungria). O tempo recorde é de 48.16, estabelecido em 25/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 200m Costas,"Na prova de 200m Costas (piscina de 25m), o recorde mundial é do atleta Hubert Kós (Hungria). O tempo recorde é de 1:45.12, estabelecido em 23/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 50m Peito,"Na prova de 50m Peito (piscina de 25m), o recorde mundial é do atleta Emre Sakçı (Turquia). O tempo recorde é de 24.95, estabelecido em 27/dez./2021 na competição Campeonato Turco."
Recorde Mundial Natação - 100m Peito,"Na prova de 100m Peito (piscina de 25m), o recorde mundial é do atleta Ilya Shimanovic (Bielorrússia). O tempo recorde é de 55.28, estabelecido em 26/nov./2021 na competição Liga Internacional de Natação."
Recorde Mundial Natação - 200m Peito,"Na prova de 200m Peito (piscina de 25m), o recorde mundial é do atleta Caspar Corbeau (Países Baixos). O tempo recorde é de 1:59.52, estabelecido em 25/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 50m Borboleta,"Na prova de 50m Borboleta (piscina de 25m), o recorde mundial é do atleta Noé Ponti (Suécia). O tempo recorde é de 21.32, estabelecido em 11/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 100m Borboleta,"Na prova de 100m Borboleta (piscina de 25m), o recorde mundial é do atleta Joshua Liendo (Canadá). O tempo recorde é de 47.68, estabelecido em 23/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 200m Borboleta,"Na prova de 200m Borboleta (piscina de 25m), o recorde mundial é do atleta Tomoru Honda (Japão). O tempo recorde é de 1:46.85, estabelecido em 22/out./2022 na competição Campeonato Japonês."
Recorde Mundial Natação - 100m Medley,"Na prova de 100m Medley (piscina de 25m), o recorde mundial é do atleta Caeleb Dressel (Estados Unidos). O tempo recorde é de 49.28, estabelecido em 21/nov./2020 na competição Liga Internacional de Natação."
Recorde Mundial Natação - 200m Medley,"Na prova de 200m Medley (piscina de 25m), o recorde mundial é do atleta Léon Marchand (França). O tempo recorde é de 1:48.88, estabelecido em 01/11/2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 400m Medley,"Na prova de 400m Medley (piscina de 25m), o recorde mundial é do atleta Daiya Seto (Japão). O tempo recorde é de 3:54.81, estabelecido em 20/out./2022 na competição Campeonato Japonês."
Recorde Mundial Natação - Rev. 4x50m Livre,"Na prova de Rev. 4x50m Livre (piscina de 25m), o recorde mundial é do atleta Caeleb Dressel, Ryan Held, Jack Conger, Michael Chadwick (Estados Unidos). O tempo recorde é de 1:21.80, estabelecido em 14/dez./2018 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x100m Livre,"Na prova de Rev. 4x100m Livre (piscina de 25m), o recorde mundial é do atleta Jack Alexy, Luke Hobson, Kieran Smith, Chris Guiliano (Estados Unidos). O tempo recorde é de 3:01.66, estabelecido em 10/dez./2024 na competição Campeonato do Mundo."
Recorde Mundial Natação - Rev. 4x200m Livre,"Na prova de Rev. 4x200m Livre (piscina de 25m), o recorde mundial é do atleta Luke Hobson, Carson Foster, Shaine Casas, Kieran Smith (Estados Unidos). O tempo recorde é de 6:40.51, estabelecido em 10/dez./2024 na competição Campeonato do Mundo."
Recorde Mundial Natação - Rev. 4x50m Medley,"Na prova de Rev. 4x50m Medley (piscina de 25m), o recorde mundial é do atleta Lorenzo Mora, Nicolò Martinenghi, Matteo Rivolta, Leonardo Deplano (Itália). O tempo recorde é de 1:29.72, estabelecido em 17/dez./2022 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x100m Medley,"Na prova de Rev. 4x100m Medley (piscina de 25m), o recorde mundial é do atleta Miron Lifintsev, Kirill Prigoda, Andrei Minakov, Egor Kornev (Rússia). O tempo recorde é de 3:18.68, estabelecido em 14/dez./2024 na competição Campeonato do Mundo."
Recorde Mundial Natação - 50m Livre,"Na prova de 50m Livre (piscina de 25m), o recorde mundial é do atleta Gretchen Walsh (Estados Unidos). O tempo recorde é de 22.83, estabelecido em 15/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 100m Livre,"Na prova de 100m Livre (piscina de 25m), o recorde mundial é do atleta Kate Douglass (Estados Unidos). O tempo recorde é de 49.93, estabelecido em 25/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 200m Livre,"Na prova de 200m Livre (piscina de 25m), o recorde mundial é do atleta Mollie O'Callaghan (Austrália). O tempo recorde é de 1:49.36, estabelecido em 24/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 400m Livre,"Na prova de 400m Livre (piscina de 25m), o recorde mundial é do atleta Summer McIntosh (Canadá). O tempo recorde é de 3:50.25, estabelecido em 10/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 800m Livre,"Na prova de 800m Livre (piscina de 25m), o recorde mundial é do atleta Lani Pallister (Austrália). O tempo recorde é de 7:54.00, estabelecido em 25/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 1500m Livre,"Na prova de 1500m Livre (piscina de 25m), o recorde mundial é do atleta Katie Ledecky (Estados Unidos). O tempo recorde é de 15:08.24, estabelecido em 29/out./2022 na competição Copa do Mundo."
Recorde Mundial Natação - 50m Costas,"Na prova de 50m Costas (piscina de 25m), o recorde mundial é do atleta Regan Smith (Estados Unidos). O tempo recorde é de 25.23, estabelecido em 13/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 100m Costas,"Na prova de 100m Costas (piscina de 25m), o recorde mundial é do atleta Regan Smith (Estados Unidos). O tempo recorde é de 54.02, estabelecido em 15/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 100m Costas (empate),"Na prova de 100m Costas (empate) (piscina de 25m), o recorde mundial é do atleta Regan Smith (Estados Unidos). O tempo recorde é de 54.02, estabelecido em 18/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 200m Costas,"Na prova de 200m Costas (piscina de 25m), o recorde mundial é do atleta Kaylee McKeown (Austrália). O tempo recorde é de 1:57.33, estabelecido em 24/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 50m Peito,"Na prova de 50m Peito (piscina de 25m), o recorde mundial é do atleta Rūta Meilutytė (Lituânia). O tempo recorde é de 28.37, estabelecido em 17/dez./2022 na competição Campeonato Mundial."
Recorde Mundial Natação - 100m Peito,"Na prova de 100m Peito (piscina de 25m), o recorde mundial é do atleta Rūta Meilutytė (Lituânia). O tempo recorde é de 1:02.36, estabelecido em 12/out./2013 na competição Copa do Mundo."
Recorde Mundial Natação - 100m Peito (empate),"Na prova de 100m Peito (empate) (piscina de 25m), o recorde mundial é do atleta Alia Atkinson (Jamaica). O tempo recorde é de 1:02.36, estabelecido em 06/dez./2014 na competição Campeonato Mundial."
Recorde Mundial Natação - 100m Peito (empate),"Na prova de 100m Peito (empate) (piscina de 25m), o recorde mundial é do atleta Alia Atkinson (Jamaica). O tempo recorde é de 1:02.36, estabelecido em 26/ago./2016 na competição Copa do Mundo."
Recorde Mundial Natação - 200m Peito,"Na prova de 200m Peito (piscina de 25m), o recorde mundial é do atleta Kate Douglass (Estados Unidos). O tempo recorde é de 2:12.50, estabelecido em 13/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 50m Borboleta,"Na prova de 50m Borboleta (piscina de 25m), o recorde mundial é do atleta Gretchen Walsh (Estados Unidos). O tempo recorde é de 23.72, estabelecido em 11/out./2025 na competição Copa do Mundo."
Recorde Mundial Natação - 100m Borboleta,"Na prova de 100m Borboleta (piscina de 25m), o recorde mundial é do atleta Gretchen Walsh (Canadá). O tempo recorde é de 52.71, estabelecido em 14/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 200m Borboleta,"Na prova de 200m Borboleta (piscina de 25m), o recorde mundial é do atleta Summer McIntosh (Canadá). O tempo recorde é de 1:59.32, estabelecido em 12/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 100m Medley,"Na prova de 100m Medley (piscina de 25m), o recorde mundial é do atleta Gretchen Walsh (Estados Unidos). O tempo recorde é de 55.98, estabelecido em 18/out./2024 na competição Virginia vs Florida Dual Meet."
Recorde Mundial Natação - 200m Medley,"Na prova de 200m Medley (piscina de 25m), o recorde mundial é do atleta Kate Douglass (Estados Unidos). O tempo recorde é de 2:01.63, estabelecido em 10/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - 400m Medley,"Na prova de 400m Medley (piscina de 25m), o recorde mundial é do atleta Summer McIntosh (Canadá). O tempo recorde é de 4:15.48, estabelecido em 14/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x50m Livre,"Na prova de Rev. 4x50m Livre (piscina de 25m), o recorde mundial é do atleta Ranomi Kromowidjojo, Maaike de Waard, Kim Busch, Femke Heemskerk (Países Baixos). O tempo recorde é de 1:32.50, estabelecido em 12/dez./2020 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x100m Livre,"Na prova de Rev. 4x100m Livre (piscina de 25m), o recorde mundial é do atleta Kate Douglass, Katharine Berkoff, Alex Shackell, Gretchen Walsh (Estados Unidos). O tempo recorde é de 3:25.01, estabelecido em 10/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x200m Livre,"Na prova de Rev. 4x200m Livre (piscina de 25m), o recorde mundial é do atleta Alexandra Walsh, Paige Madden, Katie Grimes, Claire Weinstein (Estados Unidos). O tempo recorde é de 7:30.13, estabelecido em 12/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x50m Medley,"Na prova de Rev. 4x50m Medley (piscina de 25m), o recorde mundial é do atleta Mollie O'Callaghan, Chelsea Hodges, Emma McKeon, Madison Wilson (Austrália). O tempo recorde é de 1:42.35, estabelecido em 17/dez./2022 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x100m Medley,"Na prova de Rev. 4x100m Medley (piscina de 25m), o recorde mundial é do atleta Regan Smith, Lilly King, Gretchen Walsh, Kate Douglass (Estados Unidos). O tempo recorde é de 3:40.41, estabelecido em 15/dez./2024 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x50m Livre,"Na prova de Rev. 4x50m Livre (piscina de 25m), o recorde mundial é do atleta Maxime Grousset, Florent Manaudou, Beryl Gastaldello, Melanie Henique (França). O tempo recorde é de 1:27.33, estabelecido em 14/nov./2022 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x50m Medley,"Na prova de Rev. 4x50m Medley (piscina de 25m), o recorde mundial é do atleta Ryan Murphy, Nic Fink, Kate Douglass, Torri Huske (Estados Unidos). O tempo recorde é de 1:35.15, estabelecido em 14/Dec/2022 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x100m Medley,"Na prova de Rev. 4x100m Medley (piscina de 25m), o recorde mundial é do atleta Miron Lifintsev, Kirill Prigoda, Arina Surkova, Daria Klepikova (Rússia). O tempo recorde é de 3:30.47, estabelecido em 14/Dec/2024 na competição Campeonato Mundial."
Recorde Mundial Natação - Rev. 4x100m Livre Fem.,"Na prova de Rev. 4x100m Livre Fem. (piscina de 25m), o recorde mundial é do atleta Siobhán Haughey, Pernille Blume, Femke Heemskerk, Sarah Sjöström (Energy Standard). O tempo recorde é de 3:25.37, estabelecido em 21-22/Nov/2020 na competição ISL - Liga Internacional de Natação."
Recorde Mundial Natação - Rev. 4x100m Medley Fem.,"Na prova de Rev. 4x100m Medley Fem. (piscina de 25m), o recorde mundial é do atleta Olivia Smoliga, Lilly King, Kelsi Dahlia, Erika Brown (Cali Condors). O tempo recorde é de 3:45.58, estabelecido em 21-22/Nov/2020 na competição ISL - Liga Internacional de Natação."
Recorde Mundial Natação - Rev. 4x100m Livre Masc.,"Na prova de Rev. 4x100m Livre Masc. (piscina de 25m), o recorde mundial é do atleta Evgeny Rylov, Kliment Kolesnikov, Chad le Clos, Florent Manaudou (Energy Standard). O tempo recorde é de 3:02.78, estabelecido em 21-22/Nov/2020 na competição ISL - Liga Internacional de Natação."
Recorde Mundial Natação - Rev. 4x100m Medley Masc.,"Na prova de Rev. 4x100m Medley Masc. (piscina de 25m), o recorde mundial é do atleta Kliment Kolesnikov, Ilya Shymanovich, Chad le Clos, Florent Manaudou (Energy Standard). O tempo recorde é de 3:18.28, estabelecido em 21-22/Nov/2020 na competição ISL - Liga Internacional de Natação."
Recorde Mundial Natação - Rev. 4x100m Livre Misto,"Na prova de Rev. 4x100m Livre Misto (piscina de 25m), o recorde mundial é do atleta Evgeny Rylov, Florent Manaudou, Sarah Sjöström, Siobhán Haughey (Energy Standard). O tempo recorde é de 3:14.21, estabelecido em 21-22/Nov/2020 na competição ISL - Liga Internacional de Natação."
Recorde Mundial Natação - Rev. 4x100m Medley Misto,"Na prova de Rev. 4x100m Medley Misto (piscina de 25m), o recorde mundial é do atleta Ingrid Wilm, Christopher Rothbauer, Tom Shields, Abbey Weitzeil (LA Current). O tempo recorde é de 3:33.31, estabelecido em 4-5/Set/2021 na competição ISL - Liga Internacional de Natação."
Recorde Mundial Natação - Rev. 4x100m Livre Misto,"Na prova de Rev. 4x100m Livre Misto (piscina de 25m), o recorde mundial é do atleta Evgeny Rylov, Florent Manaudou, Sarah Sjöström, Siobhán Haughey (Energy Standard). O tempo recorde é de 3:14.21, estabelecido em 21-22/Nov/2020 na competição ISL - Liga Internacional de Natação."
Recorde Mundial Natação - Rev. 4x100m Medley Misto,"Na prova de Rev. 4x100m Medley Misto (piscina de 25m), o recorde mundial é do atleta Ingrid Wilm, Christopher Rothbauer, Tom Shields, Abbey Weitzeil (LA Current). O tempo recorde é de 3:33.31, estabelecido em 4-5/Set/2021 na competição ISL - Liga Internacional de Natação."
